County,City,Data Points,MAPE,MAE,RMSE,R2 Score
Lee,Keokuk,52,2.08,47409.61,62138.85,0.8
Black Hawk,Waterloo,52,2.34,459434.32,521686.75,0.82
Linn,Cedar Rapids,52,2.47,1377894.88,1838000.23,0.69
Dubuque,Dubuque,52,2.63,542281.54,681084.66,0.85
Des Moines,Burlington,52,2.95,140769.4,178604.5,0.75
Des Moines,West Burlington,52,3.0,121219.58,160051.57,0.78
Washington,Washington,52,3.56,68993.35,81038.51,0.65
Mills,Emerson,52,3.68,6840.93,8238.79,-2.29
Boone,Ogden,52,3.73,5018.35,6967.18,0.75
Monona,Mapleton,52,3.84,7998.73,9750.4,0.8
Marshall,Marshalltown,52,4.23,231013.37,282041.18,0.73
Jones,Anamosa,52,4.41,66623.11,77069.89,0.56
Wayne,Humeston,52,4.61,3274.11,3889.51,0.76
Dubuque,Dyersville,52,4.64,78937.42,118918.41,0.62
Polk,Altoona,52,4.68,453574.9,551367.78,0.78
Page,Clarinda,52,4.73,47090.66,57174.92,0.69
Scott,Davenport,52,4.83,1865898.33,2269896.11,0.19
Cass,Atlantic,52,4.87,118957.13,155246.38,0.47
Pocahontas,Pocahontas,52,4.98,16214.25,22300.12,0.5
Bremer,Waverly,52,5.01,137246.54,159580.18,0.54
Cerro Gordo,Mason City,52,5.02,490740.68,545582.9,0.5
Audubon,Exira,52,5.08,5498.33,7300.66,0.55
Wright,Belmond,52,5.15,18303.62,20596.35,0.47
Warren,Carlisle,52,5.17,22824.48,31440.37,0.7
Clayton,Marquette,52,5.18,3882.47,4488.32,0.91
Lee,West Point,52,5.18,8538.25,11829.74,0.47
Taylor,Lenox,52,5.18,9957.62,11816.12,0.62
Mahaska,Oskaloosa,52,5.28,190342.95,228171.52,0.55
Union,Creston,52,5.33,118941.57,140496.08,0.49
Warren,Indianola,52,5.34,223616.48,269273.68,0.63
Montgomery,Red Oak,52,5.47,70543.83,81936.09,0.32
Montgomery,Villisca,52,5.49,5981.0,7059.05,0.48
Wayne,Corydon,52,5.53,17986.7,25563.4,0.59
Lee,Donnellson,52,5.56,17068.29,19222.38,0.85
Jasper,Newton,52,5.56,222239.63,290411.24,0.17
Winnebago,Lake Mills,52,5.57,34638.42,43703.66,0.31
Audubon,Audubon,52,5.69,27262.63,37296.88,0.47
Cedar,West Branch,52,5.72,16587.45,19321.89,0.76
Muscatine,Muscatine,52,5.73,373749.99,409487.06,0.21
Cass,Griswold,52,5.88,9844.41,11269.24,-1.93
Grundy,Grundy Center,52,5.96,32035.89,36812.07,0.5
Jackson,Maquoketa,52,5.98,90973.32,109701.41,0.54
Sac,Sac City,52,6.03,24642.88,31692.94,0.69
Bremer,Sumner,52,6.06,25342.05,37188.0,0.57
Clinton,Clinton,52,6.11,318160.45,337427.29,0.4
Buchanan,Independence,52,6.3,133846.14,170264.41,0.1
Clay,Spencer,52,6.38,333541.07,389740.69,0.46
Bremer,Tripoli,52,6.4,6698.02,9124.04,0.75
Clarke,Osceola,52,6.41,93024.53,109321.57,0.58
Monona,Onawa,52,6.42,41433.18,49873.53,0.66
Buena Vista,Newell,52,6.45,2953.72,4310.35,-0.01
Butler,Parkersburg,52,6.49,15188.8,19682.09,0.15
Humboldt,Bode,21,6.54,3909.59,4292.8,0.53
Pocahontas,Laurens,52,6.57,11154.76,13602.59,0.46
Clayton,Monona,52,6.67,30419.82,36068.62,0.27
Benton,Vinton,52,6.67,55290.61,65238.54,0.65
Black Hawk,Cedar Falls,52,6.83,1100564.31,1914269.58,0.1
Appanoose,Centerville,52,6.92,130764.09,189081.9,0.45
Jackson,Lamotte,40,6.97,2726.61,3476.98,0.4
Fremont,Other,52,6.97,27205.07,32876.44,0.1
Decatur,Leon,52,7.01,38013.85,51387.61,0.47
Hardin,Iowa Falls,52,7.03,127775.02,135798.53,-0.25
Jefferson,Fairfield,52,7.04,140691.03,149702.18,0.55
Louisa,Morning Sun,52,7.08,6363.26,8366.62,0.52
Fayette,Clermont,52,7.09,6025.15,7540.82,0.39
Poweshiek,Grinnell,52,7.13,130339.29,152625.33,0.57
Clinton,Wheatland,52,7.21,8593.04,10052.48,0.35
Black Hawk,Laporte City,52,7.25,12561.43,14355.53,0.05
Polk,Urbandale,52,7.35,1252839.17,1409028.76,-0.96
Mitchell,Osage,52,7.4,60495.78,72963.08,0.37
Mills,Glenwood,52,7.46,72703.89,87349.9,0.01
Bremer,Denver,52,7.47,22641.16,25858.9,0.53
Scott,Walcott,52,7.48,91559.34,108502.22,-0.22
Buena Vista,Storm Lake,52,7.51,251417.04,312387.96,0.13
Crawford,Charter Oak,52,7.54,3548.32,4332.59,0.34
Page,Shenandoah,52,7.6,81793.19,92457.46,-0.15
Guthrie,Guthrie Center,52,7.61,25781.87,31205.42,0.09
Muscatine,Nichols,52,7.68,4219.24,5324.3,0.83
Bremer,Plainfield,52,7.69,5020.38,7230.36,-0.11
Kossuth,Bancroft,52,7.71,12575.92,16348.07,0.39
Hamilton,Stanhope,52,7.73,2157.94,2635.17,-1.03
Dickinson,Spirit Lake,52,7.76,240014.16,273850.28,0.85
Delaware,Manchester,52,7.8,145516.89,172591.22,0.48
Pottawattamie,Council Bluffs,52,7.81,1610012.89,1652703.24,-0.24
Marion,Knoxville,52,7.85,133265.36,144956.69,0.64
Fayette,West Union,52,7.86,45403.25,50819.83,0.1
Plymouth,Remsen,52,7.89,19763.83,22596.44,0.03
Cedar,Tipton,52,7.94,70154.07,81236.21,0.28
Black Hawk,Evansdale,52,7.98,37756.76,42441.05,0.46
Dickinson,Arnolds Park,52,7.99,60227.19,75783.44,0.96
Jefferson,Libertyville,51,8.0,2950.67,4464.91,0.17
Woodbury,Sioux City,52,8.0,2236273.8,2332582.29,-0.49
Worth,Grafton,52,8.01,1604.98,1766.72,0.45
Cerro Gordo,Clear Lake,52,8.07,174240.34,194112.53,0.77
Warren,Milo,52,8.09,7221.05,9376.77,0.23
Wayne,Lineville,44,8.1,3346.25,3626.06,0.45
Mitchell,St. Ansgar,52,8.16,22302.41,28347.73,0.54
Clinton,Camanche,52,8.21,15869.56,22522.85,0.21
Jackson,Preston,52,8.21,20750.57,25018.84,0.06
Polk,West Des Moines,52,8.22,1460044.49,1696322.6,-1.19
Howard,Cresco,52,8.23,97684.58,110861.82,-0.06
Hamilton,Williams,52,8.27,8182.18,10181.04,0.28
Cherokee,Cherokee,52,8.3,118540.71,146628.82,0.23
Tama,Traer,52,8.37,12093.08,14648.6,0.28
Plymouth,Lemars,52,8.43,261303.13,328094.69,0.05
Humboldt,Humboldt,52,8.45,106232.26,119918.66,0.21
O'Brien,Paullina,52,8.49,16711.46,22032.73,0.26
Van Buren,Keosauqua,52,8.52,25311.31,38215.02,0.51
Clinton,Dewitt,52,8.56,108341.3,121927.37,0.45
Butler,Clarksville,52,8.61,9066.95,10107.85,0.18
Calhoun,Rockwell City,52,8.62,29135.78,34897.96,0.41
Franklin,Hampton,52,8.63,79460.43,109846.43,0.19
Jones,Monticello,52,8.72,119933.1,153022.28,-1.0
Pottawattamie,Oakland,52,8.79,18867.41,22119.49,0.02
Marion,Pella,52,8.8,389038.97,453033.32,0.28
Buena Vista,Alta,52,8.82,16939.37,24439.48,-0.11
Linn,Fairfax,52,8.84,33928.14,42098.82,0.32
Madison,Winterset,52,8.86,144564.97,160115.12,0.25
Woodbury,Sloan,52,8.93,9182.74,10892.4,0.51
Wapello,Eldon,52,8.94,6139.83,7348.92,0.44
Warren,Norwalk,52,9.07,151389.63,178218.73,0.53
Scott,Eldridge,52,9.08,108649.22,127986.23,-0.07
Polk,Windsor Heights,52,9.14,144398.31,172392.7,0.07
Butler,Dumont,52,9.15,10943.74,14903.36,0.38
Chickasaw,Nashua,52,9.33,19723.48,30475.19,0.42
Polk,Ankeny,52,9.42,2003954.26,2252375.4,-0.12
Decatur,Lamoni,52,9.45,27729.28,33407.45,0.03
Hancock,Kanawha,51,9.46,12184.94,14380.5,-8.8
Muscatine,West Liberty,52,9.47,32841.7,41876.15,0.26
Story,Ames,52,9.51,1668733.97,1727156.01,-1.01
Harrison,Missouri Valley,52,9.57,57070.1,71852.89,-0.09
Hamilton,Ellsworth,52,9.62,18689.64,20412.91,0.17
Winnebago,Buffalo Center,52,9.62,18566.53,22939.38,-0.01
Worth,Manly,52,9.63,10165.63,12066.13,-0.03
Union,Afton,52,9.66,9119.02,11039.85,-1.33
Johnson,Iowa City,52,9.7,1418851.79,1636000.79,-0.76
Dallas,Perry,52,9.75,155178.64,176138.24,-0.13
Carroll,Carroll,52,9.78,452311.23,526140.9,-0.31
Boone,Boone,52,9.81,364992.84,450249.45,-0.11
Lyon,Lester,52,9.86,6564.81,9306.39,0.44
Jasper,Baxter,52,9.94,11660.34,13708.51,-0.41
O'Brien,Sanborn,52,10.0,28112.97,32731.08,-0.14
Johnson,Coralville,52,10.01,1523074.79,1744084.6,-0.28
Story,Story City,52,10.09,65535.17,85356.89,0.02
Johnson,Swisher,52,10.1,21237.1,26036.35,0.66
Henry,Mount Union,51,10.13,2736.85,3414.79,0.29
Crawford,Manilla,52,10.17,6538.3,8138.74,0.22
Cedar,Clarence,52,10.2,8879.2,10484.64,0.23
Monona,Whiting,52,10.21,2592.86,2764.72,-0.11
Poweshiek,Montezuma,52,10.23,45222.08,55470.94,-0.48
Washington,Wellman,52,10.24,22867.91,28255.65,0.03
Emmet,Estherville,52,10.25,125196.57,126522.82,-0.48
Crawford,Denison,52,10.26,183285.14,213645.9,0.22
Winneshiek,Decorah,52,10.29,373250.98,392541.62,0.03
Dickinson,Milford,52,10.29,80695.15,95899.66,0.73
Linn,Hiawatha,52,10.31,311077.55,360890.24,-0.86
Montgomery,Stanton,52,10.32,11620.77,13224.61,-1.32
Ida,Ida Grove,52,10.34,55988.07,66292.83,-0.28
Fayette,Fayette,52,10.42,7793.42,9491.29,0.39
Adair,Adair,52,10.43,20563.72,23907.87,-0.02
Dallas,Van Meter,52,10.43,12320.38,15193.72,0.85
Wapello,Ottumwa,52,10.45,698135.43,726722.77,-1.02
Cherokee,Aurelia,52,10.48,14109.48,18238.67,0.59
Louisa,Columbus Junction,52,10.48,24690.37,29398.14,-0.68
Polk,Polk City,52,10.49,49007.93,58571.19,0.53
Hamilton,Jewell Junction,40,10.52,10181.66,12077.57,-0.34
Greene,Jefferson,52,10.54,83060.83,92046.16,0.4
Linn,Springville,52,10.58,14553.13,16531.71,0.85
Grundy,Wellsburg,52,10.66,5373.7,6068.62,0.18
Pocahontas,Havelock,50,10.67,3771.38,4655.92,-1.02
Mahaska,Fremont,52,10.71,5323.84,6229.21,-0.75
Pottawattamie,Crescent,52,10.71,18021.45,22463.46,-0.62
Polk,Des Moines,52,10.86,8149552.28,8671607.19,-1.09
Tama,Toledo,52,10.86,67110.13,75807.83,0.41
Black Hawk,Gilbertville,52,10.94,3368.45,4409.55,-0.06
Jackson,Sabula,52,11.07,6632.93,8834.66,-0.55
Iowa,North English,52,11.1,13377.08,14722.56,-0.1
Adair,Greenfield,52,11.11,63070.44,73217.01,-1.43
Marion,Other,52,11.12,19275.05,23448.76,0.53
Humboldt,Dakota City,52,11.19,5453.78,7429.93,0.25
Webster,Fort Dodge,52,11.2,993997.52,1069421.45,-1.19
Sioux,Hawarden,52,11.2,43002.17,48009.26,0.26
Chickasaw,New Hampton,52,11.22,162367.75,205814.09,-0.14
Clay,Everly,51,11.26,5072.55,6583.43,-0.88
Muscatine,Wilton,52,11.29,69939.06,85899.0,0.24
Washington,Kalona,52,11.3,156014.92,189149.26,0.07
Pocahontas,Rolfe,52,11.35,4438.82,5564.04,-0.41
Benton,Shellsburg,52,11.36,13614.15,15518.14,0.27
Louisa,Wapello,52,11.39,28819.9,37003.48,-0.45
Guthrie,Panora,52,11.51,54465.24,62656.84,0.59
Adams,Corning,52,11.53,51303.64,70255.1,0.38
Monona,Soldier,47,11.58,2401.94,3093.33,-0.03
Crawford,Vail,52,11.65,3885.13,5980.7,-0.63
Dallas,Desoto,52,11.73,41525.85,53389.55,0.45
Tama,Tama,52,11.73,38321.39,42563.4,-0.55
Jasper,Monroe,52,11.74,29064.19,32803.87,-0.21
Dickinson,Lake Park,52,11.8,29456.8,40457.71,-0.12
Polk,Mitchellville,52,11.82,23394.31,42914.92,-0.16
Sioux,Ireton,52,11.82,12153.31,13372.97,-0.38
Lyon,George,52,11.84,22168.9,27203.16,-0.57
Harrison,Dunlap,52,11.88,29462.37,35045.43,-0.37
Allamakee,Lansing,52,11.89,50192.16,98534.28,-0.17
Fremont,Sidney,52,11.9,12600.95,15185.28,-0.11
Pocahontas,Fonda,52,11.93,3898.72,4840.61,0.41
Bremer,Janesville,52,11.96,14832.73,17684.5,-0.83
Winnebago,Thompson,52,11.99,16215.54,21214.18,-0.3
Story,Nevada,52,12.03,114627.36,130047.88,0.05
Jasper,Colfax,52,12.08,31086.42,36737.78,0.59
Dubuque,Cascade,52,12.15,63424.59,67710.65,-0.8
Cedar,Durant,52,12.16,39341.76,53684.22,0.02
Allamakee,Waukon,52,12.2,156694.54,184887.16,-0.31
Pottawattamie,Avoca,52,12.27,66464.14,79797.33,-0.5
Dallas,Woodward,52,12.28,11116.12,13183.73,0.12
Lucas,Chariton,52,12.28,128133.81,156434.94,-0.06
Taylor,Bedford,52,12.32,36107.88,39543.56,-1.55
Shelby,Harlan,52,12.36,158385.35,167773.33,-2.51
Scott,Princeton,52,12.36,5380.49,6577.11,0.61
Iowa,Marengo,52,12.4,45669.63,52277.74,-0.7
Lyon,Rock Rapids,52,12.56,82091.92,89820.26,-0.24
Carroll,Coon Rapids,52,12.59,30998.53,34478.93,-1.34
Winneshiek,Calmar,52,12.65,30019.75,36898.82,0.2
Hamilton,Webster City,52,12.71,181216.21,210005.81,-0.42
Johnson,North Liberty,52,12.77,366881.6,419505.72,-1.55
Kossuth,Algona,52,12.8,277468.16,283952.76,-0.6
O'Brien,Sheldon,52,12.8,198831.79,216881.75,-0.91
Kossuth,Whittemore,52,12.84,4429.83,5346.3,0.4
Jasper,Kellogg,52,12.93,7126.33,8828.47,0.41
Buena Vista,Albert City,52,12.93,5681.57,7361.08,-0.17
Des Moines,Mediapolis,52,12.95,51922.11,63177.11,-0.54
Story,Maxwell,52,12.96,8935.51,11441.45,-0.02
Osceola,Sibley,52,12.98,99266.37,115655.08,-0.9
Plymouth,Kingsley,52,13.01,25403.94,30245.72,-0.4
Cedar,Stanwood,52,13.05,5847.68,7726.65,0.23
Keokuk,Keota,52,13.08,16337.99,17438.08,-0.95
Hancock,Klemme,52,13.09,2516.83,2840.03,0.46
Calhoun,Manson,52,13.18,46157.68,51388.58,-1.87
Wright,Eagle Grove,52,13.2,84528.12,105065.5,-0.56
Polk,Pleasant Hill,52,13.24,213966.11,265590.15,-0.42
Palo Alto,West Bend,52,13.28,27676.09,35176.21,-0.58
Calhoun,Lake City,52,13.32,34908.69,39767.14,-0.32
Hardin,Ackley,52,13.33,18796.81,20772.93,-0.83
Pottawattamie,Minden,52,13.34,8291.59,9317.53,-0.19
Plymouth,Hinton,52,13.49,21437.47,25058.42,0.42
Dallas,Waukee,52,13.49,923556.63,1053543.69,-0.59
Benton,Urbana,52,13.5,46085.96,49510.12,-0.48
Shelby,Irwin,52,13.5,9125.04,10488.94,-0.06
Mahaska,New Sharon,52,13.55,21625.28,29098.92,-0.21
Clayton,Strawberry Point,52,13.6,41282.71,54702.15,0.39
Humboldt,Livermore,52,13.61,3152.01,3813.92,0.32
Linn,Mount Vernon,52,13.61,99711.97,126113.13,-0.69
Van Buren,Farmington,52,13.81,7125.7,7588.93,-1.6
Franklin,Latimer,52,13.9,11698.54,15902.57,0.04
Webster,Lehigh,52,13.92,4284.3,4982.0,-0.32
Cass,Massena,52,13.93,17973.92,22966.37,-0.22
Sac,Schaller,52,13.98,12708.28,14951.71,-2.14
Taylor,Clearfield,52,14.03,3440.06,4090.06,-0.5
Kossuth,Titonka,52,14.11,10170.67,12909.6,-1.05
Clinton,Delmar,52,14.16,10678.48,13918.95,-0.68
Poweshiek,Brooklyn,52,14.16,99171.36,109459.54,-1.8
Butler,Greene,52,14.23,18985.06,23679.06,0.3
Carroll,Breda,52,14.26,34465.16,42753.31,0.17
Polk,Elkhart,52,14.3,17350.53,21658.37,0.07
Lyon,Inwood,52,14.33,28691.54,34375.0,-0.4
Palo Alto,Emmetsburg,52,14.35,116632.31,139610.27,-0.67
Keokuk,What Cheer,52,14.38,5669.34,7891.51,-1.11
Marshall,Albion,52,14.42,6883.15,7783.81,-0.48
Sioux,Sioux Center,52,14.42,513889.08,537903.32,-1.79
Clayton,Garnavillo,52,14.51,13811.26,17042.79,-0.06
Carroll,Glidden,52,14.57,18754.26,22140.87,-2.06
Dubuque,Holy Cross,52,14.59,8499.73,10889.1,-0.24
Benton,Atkins,52,14.69,43468.94,51817.19,0.12
Emmet,Armstrong,52,14.76,20890.6,30219.48,-0.38
Ida,Holstein,52,14.82,29264.19,36755.73,-2.48
Mills,Pacific Junction,52,14.85,32319.63,44852.9,0.07
Hancock,Britt,52,14.98,53917.48,66344.28,-0.4
Warren,New Virginia,52,15.0,11072.42,11792.68,-1.24
Linn,Ely,52,15.0,25429.46,29109.01,-0.68
Black Hawk,Hudson,52,15.01,52217.0,62043.13,-1.65
Jackson,Bellevue,52,15.04,70983.17,85265.32,-0.68
Linn,Central City,52,15.11,26542.12,33049.48,0.08
Davis,Bloomfield,52,15.12,276711.07,359349.48,-0.29
Cherokee,Marcus,52,15.26,94083.26,126663.93,-0.33
Marshall,Legrand,40,15.33,3568.67,4229.2,-0.53
Poweshiek,Victor,34,15.39,7034.09,7784.98,-1.51
Sioux,Boyden,52,15.47,12407.91,16039.77,0.0
Story,Kelley,52,15.55,5049.06,6607.01,-1.08
Worth,Northwood,52,15.61,82415.02,102259.45,-0.77
Lee,Montrose,52,15.63,8853.19,9493.65,0.32
Sioux,Hull,52,15.63,115415.5,138740.61,-0.32
Henry,Salem,52,15.65,6803.8,8117.77,0.19
Hamilton,Stratford,52,15.67,12851.73,16911.4,0.28
Floyd,Rockford,52,15.73,7712.11,10169.03,-1.39
Benton,Belle Plaine,52,15.75,50636.82,58592.21,-1.09
Mitchell,Riceville,52,15.83,15175.88,17323.43,-0.14
Wright,Goldfield,52,15.89,20385.78,25608.47,-0.16
