County,City,Data Points,MAPE,MAE,RMSE,R2 Score
Ida,Battle Creek,52,36.57,19716.34,20951.16,-5.84
Washington,Ainsworth,52,36.64,19851.18,27313.23,-8.09
Montgomery,Elliott,22,37.3,1158.62,1627.2,-7.4
Lucas,Russell,52,37.35,6029.96,8306.38,-0.48
Sac,Auburn,52,37.39,8640.83,9268.7,-12.2
Clay,Webb,51,37.79,2565.0,3199.3,-0.75
Sac,Lytton,43,37.98,5824.35,7236.91,0.23
Tama,Garwin,52,38.02,7318.16,8040.12,-4.04
Franklin,Sheffield,52,38.18,73308.35,84851.64,0.24
Sioux,Orange City,52,38.27,1032573.94,1131799.5,-5.03
Delaware,Dyersville,52,38.35,73551.98,103449.29,-0.79
Lee,Houghton,52,38.35,65471.81,70010.98,-7.31
Howard,Elma,52,38.61,79970.89,91208.26,-2.32
Warren,Cumming,52,38.91,95063.95,107593.32,-0.4
Chickasaw,Fredericksburg,52,39.01,80325.09,98217.77,-1.86
Benton,Norway,52,39.04,12836.12,13638.57,-1.42
Johnson,Tiffin,52,39.08,209696.17,218593.08,-9.89
Clay,Dickens,44,39.18,23911.27,29613.86,-5.6
Union,Lorimor,32,39.47,6841.74,7191.0,-12.99
Story,Collins,52,39.51,10762.2,14364.57,-1.16
Jackson,Andrew,27,39.93,4833.27,5933.16,-0.42
Winnebago,Leland,52,40.16,7705.98,9107.63,-0.32
Plymouth,Akron,52,40.24,77065.44,84447.03,-1.96
Hancock,Other,52,40.64,8023.13,11567.98,0.27
Muscatine,Durant,33,40.73,14120.21,21239.84,-0.6
Crawford,Other,52,40.75,26842.61,30070.66,-2.11
Mitchell,Other,52,40.8,17138.55,21342.88,0.01
Greene,Churdan,50,40.98,6331.95,6865.12,-3.64
Decatur,Weldon,22,41.02,4638.41,6177.85,-6.73
Shelby,Portsmouth,52,41.11,10808.23,13423.34,-0.43
Linn,Alburnett,52,41.16,34200.35,36033.96,-6.78
Worth,Kensett,52,41.32,62394.68,71398.45,-3.64
Cedar,Lowden,52,41.34,49222.27,87176.05,0.07
Buchanan,Hazleton,52,41.39,66749.96,72752.7,-3.93
Van Buren,Birmingham,52,41.48,9758.82,10919.22,0.22
Shelby,Shelby,52,41.52,5810.48,6137.96,-12.11
Jones,Oxford Junction,52,41.87,5748.01,6260.48,-2.31
Clay,Greenville,33,42.14,4107.55,4954.93,-2.23
Hancock,Crystal Lake,34,42.43,2231.02,2724.17,-0.81
Winneshiek,Castalia,21,42.53,2801.62,4442.85,-0.44
Kossuth,Other,52,42.6,28453.72,34318.85,-1.49
Fremont,Farragut,52,42.74,6733.45,7260.29,-4.09
Mahaska,Other,52,42.83,21344.39,26597.02,-0.67
Delaware,Edgewood,50,43.26,66224.59,72848.49,-1.37
Delaware,Greeley,51,43.35,9093.92,10580.65,-2.35
Lyon,Alvord,50,43.57,29071.3,44686.22,-0.76
Cerro Gordo,Plymouth,52,43.64,5595.71,5856.76,-4.47
Hardin,Steamboat Rock,52,43.71,12775.77,15398.77,-1.83
Pocahontas,Palmer,43,44.01,25000.4,27525.72,-11.16
Buchanan,Lamont,52,44.12,8308.33,9378.98,0.05
Black Hawk,Elk Run Heights,52,44.13,130509.54,150832.51,-1.36
Lyon,Larchwood,52,44.25,188825.94,200170.97,-12.89
Madison,Other,52,44.33,128215.48,142327.14,-3.42
Cass,Marne,23,44.34,11664.63,13685.43,-42.84
Washington,Brighton,52,44.41,66908.38,87114.03,-1.14
Clayton,St. Olaf,31,44.46,5001.77,5449.0,-5.82
Iowa,Millersburg,20,44.51,9255.7,10003.08,-3.11
Polk,Granger,12,44.55,39010.39,41801.53,-0.53
Pottawattamie,Treynor,52,44.64,37328.34,39515.95,-6.27
Jones,Olin,52,44.7,28689.82,30894.11,-4.27
Appanoose,Mystic,18,45.01,2053.02,2437.76,-0.9
Audubon,Brayton,13,45.18,1342.77,1543.22,-88.39
Benton,Walford,52,45.56,30308.71,36650.49,-1.69
Keokuk,Other,52,45.67,15684.73,18641.6,0.13
Worth,Hanlontown,24,46.57,2910.6,4230.82,-0.46
Monona,Other,52,46.66,15451.0,17848.6,-1.13
Tama,Montour,27,46.68,20334.42,22203.95,-2.11
Marshall,Rhodes,49,46.72,19887.24,32750.97,-0.61
Decatur,Garden Grove,28,46.78,8703.55,10027.05,-2.18
Marshall,Gilman,52,46.97,12539.15,14319.46,-2.04
Jones,Martelle,52,46.98,9917.37,11948.59,0.08
Carroll,Dedham,52,47.13,12849.2,14522.51,-2.8
Fayette,Elgin,52,47.14,69195.49,82914.46,-3.06
Pottawattamie,Carter Lake,52,47.72,144373.31,177615.85,-9.37
Dubuque,Worthington,52,48.11,57762.82,63196.22,-0.14
Allamakee,New Albin,52,48.17,9054.98,10902.09,-1.21
Hancock,Woden,34,48.21,2765.93,3603.82,-0.98
Monona,Moorhead,50,48.21,2706.62,3420.54,-0.83
Delaware,Earlville,52,49.03,13731.29,14712.44,-0.15
Floyd,Other,52,49.3,20286.59,23187.71,-0.43
Story,Cambridge,52,49.36,33048.87,44531.93,0.39
Dallas,Granger,52,49.72,60040.11,67948.16,0.1
Warren,Martensdale,45,49.87,17757.55,18205.67,-32.69
Cedar,Other,52,50.26,73822.51,81434.27,-4.19
Carroll,Halbur,52,50.41,19462.39,22203.33,-1.64
Butler,Bristow,28,51.0,2263.61,2815.18,-0.9
Dallas,Other,52,51.68,164589.67,192798.87,-2.94
Osceola,Harris,37,52.02,8477.31,12488.96,-0.77
Poweshiek,Other,52,52.34,21315.14,24838.95,-1.4
Lee,St. Paul,29,52.39,16022.41,17907.63,-9.88
Fremont,Riverton,19,52.72,3371.35,4153.26,-0.15
Marion,Melcher-Dallas,36,52.99,40482.48,41936.85,-12.42
Dallas,Dexter,52,53.45,38518.37,46582.75,-0.17
Benton,Keystone,51,54.1,29930.3,33521.49,-0.08
Tama,Clutier,40,54.15,5588.88,6074.9,-5.24
Dallas,Urbandale,52,54.27,178662.52,216259.62,-2.22
Floyd,Marble Rock,52,54.33,38984.55,39814.23,-14.28
Franklin,Other,52,54.36,22640.45,23833.88,-7.28
Keokuk,Keswick,51,54.46,10921.17,12916.89,-3.71
Butler,Aplington,52,54.87,85966.65,89095.71,-8.81
Harrison,Mondamin,52,54.93,9769.08,10412.18,-7.55
Fayette,Other,52,54.98,46089.84,50860.46,-0.02
Franklin,Geneva,48,54.99,5267.18,6224.37,-4.48
Decatur,Davis City,50,55.16,2876.62,3291.58,-1.13
Jones,Onslow,50,55.3,3440.66,3904.11,-1.34
Madison,Truro,52,55.37,13262.33,14688.02,-4.67
Monroe,Lovilia,52,55.74,49201.04,52388.48,-0.52
Linn,Walker,52,55.81,62004.83,64842.62,-5.73
Audubon,Kimballton,25,56.02,5955.87,7763.86,-7.46
Ringgold,Diagonal,52,56.05,31071.2,32324.28,-10.3
Johnson,West Branch,15,56.07,9219.72,9311.07,-89.24
Scott,Dixon,48,56.08,3546.49,3881.54,-7.06
Muscatine,Other,52,56.17,29618.68,32459.03,-1.77
Woodbury,Hornick,51,56.17,11623.2,13175.53,-4.46
Carroll,Lidderdale,21,57.69,43547.99,66016.89,-9.79
Woodbury,Smithland,25,58.03,3318.43,3810.13,0.78
Adair,Stuart,52,58.25,100410.39,112437.4,0.09
Greene,Rippey,50,58.27,5302.34,5659.29,-5.17
Keokuk,Delta,22,58.57,4993.63,5942.5,-7.6
Allamakee,Dorchester,12,58.72,14125.45,15592.98,-12.51
Cedar,Bennett,42,58.78,9910.39,11091.19,-0.63
Page,Braddyville,48,58.87,4736.08,5189.31,-15.67
Delaware,Hopkinton,52,58.88,86284.51,90652.79,-10.1
Hancock,Goodell,14,59.17,1849.77,1955.37,-1.47
Mahaska,Barnes City,41,59.45,12949.84,15176.41,-2.84
Boone,Pilot Mound,16,59.99,8567.86,12719.09,0.18
Poweshiek,Searsboro,14,60.85,1494.58,1908.91,-27.19
Webster,Callender,51,61.17,7749.14,9544.58,-0.38
Clayton,Farmersburg,14,61.25,7328.42,8054.32,-113.84
Hardin,Radcliffe,52,61.98,22541.41,23858.73,-12.07
Buchanan,Aurora,52,62.45,11479.08,12166.1,-1.11
Mills,Silver City,46,63.85,7946.93,9045.28,-12.34
Delaware,Dundee,52,64.36,12294.78,14556.02,-3.46
Wapello,Eddyville,52,65.19,128681.75,136644.6,-7.64
Washington,Crawfordsville,50,66.9,3278.42,3637.17,-0.4
Butler,Shell Rock,52,67.66,57003.12,62655.32,-5.62
Franklin,Dows,45,68.95,20552.74,24672.66,-12.69
Cerro Gordo,Meservey,28,69.5,2206.57,2533.94,-6.38
Warren,Lacona,52,69.62,22567.88,25294.46,-7.78
Cherokee,Cleghorn,46,69.87,4316.14,5067.14,-0.71
Clay,Peterson,52,70.16,9298.82,10360.47,-0.08
Iowa,Other,52,70.82,267585.2,271452.63,-4.63
Wright,Dows,52,70.94,34195.55,37681.29,-3.68
Jackson,Springbrook,52,71.08,4553.16,5269.64,-0.23
Jefferson,Other,52,71.65,5425.8,6762.29,-0.68
Osceola,Ashton,52,72.92,6942.53,7509.42,-3.28
Story,Mccallsburg,15,73.07,14546.56,14672.34,-0.59
Delaware,Delhi,52,73.62,82628.17,101394.65,-0.32
Jackson,Zwingle,29,73.63,10982.99,12550.74,-2.25
Allamakee,Waterville,36,74.49,4823.26,5764.65,-1.93
Monona,Castana,25,74.59,3490.52,4242.17,-5.33
Osceola,Melvin,52,74.6,25062.29,31791.48,-2.42
Monona,Blencoe,24,75.51,2545.71,3135.42,-8.67
Clayton,Volga,39,75.97,10233.49,13256.52,-1.37
Fayette,Sumner,12,76.3,22300.77,24183.56,-1.66
Greene,Grand Junction,52,76.35,40872.75,51096.8,-0.52
Clinton,Charlotte,52,76.51,15742.47,19988.87,-3.46
Muscatine,Stockton,15,76.68,3716.72,3722.61,0.91
Clayton,Postville,18,77.01,28828.62,30465.86,-4.88
Jones,Cascade,51,77.71,34320.48,37086.58,-4.69
Black Hawk,Jesup,12,77.8,56167.04,66363.81,-2655.18
Mills,Other,52,80.12,138373.06,148235.87,-8.03
Greene,Other,52,81.04,22600.64,30294.52,-0.14
Woodbury,Bronson,41,81.68,11819.48,13760.33,-2.19
Warren,Other,52,81.81,96508.08,115486.77,-3.79
Bremer,Other,52,82.66,31294.35,38615.09,-1.86
Dubuque,Other,52,82.71,29482.02,34550.04,-9.22
Guthrie,Adair,51,84.02,19307.33,21539.6,-0.12
Scott,Other,52,84.19,243932.54,255125.36,-5.79
Emmet,Other,52,84.8,6972.87,8465.21,-0.11
Kossuth,Lakota,52,86.14,10499.05,12293.07,0.08
Clinton,Other,52,86.87,20592.52,23868.65,-0.85
Mitchell,Mcintire,17,87.85,18574.6,24479.97,-47.51
Clarke,Other,52,88.59,21917.81,24044.17,-12.91
Henry,Olds,45,88.96,8863.64,11779.14,-0.57
Hamilton,Randall,16,89.55,3947.46,5191.13,-40.29
Guthrie,Other,52,90.75,9662.97,10656.98,-0.09
Taylor,Gravity,15,93.63,4271.12,4936.91,-2.19
Marshall,Liscomb,17,94.32,3954.05,5821.05,-7.64
Grundy,Other,52,95.69,14128.15,17000.66,-0.64
Jasper,Other,52,96.68,23218.63,26865.42,-0.79
Pocahontas,Gilmore City,23,96.94,63855.22,82326.03,-21.22
Humboldt,Other,52,97.35,38860.44,42549.58,-0.85
Monroe,Melrose,15,98.78,7245.67,10184.53,-10.99
Boone,Other,52,99.19,122564.95,129485.77,-0.19
Hancock,Forest City,52,99.95,133200.48,149241.63,-1.79
Worth,Joice,18,100.36,5635.0,7474.02,-23.74
Louisa,Grandview,14,100.76,8952.88,13161.78,-18.73
Marshall,Haverhill,36,101.66,13157.87,14199.4,-4.48
Palo Alto,Cylinder,52,102.06,19944.0,22336.62,-1.02
Adams,Other,52,102.42,9938.14,11588.72,-5.78
Monona,Ute,52,102.55,18328.62,20450.48,-9.75
Ringgold,Ellston,44,102.9,9952.27,11523.42,-9.46
Hamilton,Blairsburg,51,103.05,84588.77,239611.44,-0.06
Webster,Otho,41,104.8,6355.86,7018.49,0.11
Fremont,Shenandoah,52,106.85,245465.95,251961.1,-12.82
Butler,Other,52,108.32,33039.13,36772.95,-0.11
Des Moines,Other,52,108.36,61672.73,67006.52,-5.68
Sac,Other,52,109.09,16246.26,20385.86,-12.49
Pottawattamie,Macedonia,20,109.63,38377.87,42014.45,-4.84
Cherokee,Washta,26,113.57,6878.93,7606.4,-34.93
Woodbury,Cushing,32,115.45,6249.2,6887.29,-4.27
Pocahontas,Other,52,116.89,43340.26,54194.76,-0.8
Jackson,Spragueville,14,116.9,4464.55,6925.15,-77.45
Fayette,Westgate,13,117.06,13786.49,17653.18,-6.59
Jasper,Reasnor,49,118.32,3323.97,4099.32,-2.24
Monroe,Eddyville,17,119.37,81862.29,100162.12,-39.26
Adair,Other,52,122.1,49531.68,56845.53,-4.35
Guthrie,Bagley,16,122.81,15571.62,18058.85,-143.59
Linn,Walford,30,124.58,19982.44,24114.96,-0.81
Calhoun,Other,52,125.4,24972.9,26540.29,-11.4
Plymouth,Other,52,134.66,11356.15,13822.66,-0.14
Cass,Lewis,50,135.23,9711.8,13267.6,-0.45
Linn,Palo,52,136.86,260257.44,275700.09,-11.02
Cerro Gordo,Ventura,52,138.36,82272.09,95713.55,-5.57
Louisa,Columbus City,14,139.45,12692.01,15795.55,-20.45
Clay,Fostoria,41,143.63,5159.16,5781.44,-0.63
Muscatine,Atalissa,50,145.44,4276.67,5318.71,-5.49
Lucas,Derby,12,147.14,10244.4,10459.79,-167.34
Warren,Des Moines,18,149.85,129295.42,185203.58,-261.64
Winneshiek,Other,52,153.38,94309.29,94983.61,-53.06
Webster,Duncombe,51,156.26,69088.98,106086.11,-0.42
Muscatine,Fruitland,16,165.99,8411.14,11606.42,-89.24
Wapello,Other,52,169.66,23113.72,25103.94,-209.59
Fayette,Randalia,22,169.67,8818.0,10253.8,-2.71
Marion,Harvey,52,174.56,25687.87,28109.41,-1.57
Dallas,Linden,19,181.16,6059.09,7634.88,-54.21
Sioux,Other,52,182.64,21313.75,23238.44,-24.41
Delaware,Masonville,12,182.86,9537.75,11684.3,-319.23
Delaware,Other,52,190.03,116050.4,122784.69,-133.01
Woodbury,Other,52,192.94,108255.75,108713.13,-11.07
Ringgold,Other,52,195.72,10062.51,12057.89,-2.17
O'Brien,Calumet,44,197.8,71770.14,114944.13,-0.37
Henry,Other,52,200.81,25433.34,32112.76,-1.74
Humboldt,Hardy,16,204.7,6639.04,10921.16,-7.06
Wright,Woolstock,31,208.9,31003.75,32996.64,-13.11
Dallas,Grimes,22,211.29,381228.88,501352.73,-2.56
Pottawattamie,Other,52,213.12,163184.71,182582.5,-3.25
Palo Alto,Graettinger,52,213.87,292016.42,420852.25,-0.46
Guthrie,Menlo,52,220.42,56209.47,56967.49,-157.03
Delaware,Ryan,52,223.38,19817.73,26478.3,-1.05
Winnebago,Other,52,224.17,22722.91,34894.1,0.06
Story,Other,52,240.08,61475.14,62498.45,-33.11
Cedar,Wilton,29,240.81,22434.21,23840.89,0.01
Black Hawk,Other,52,245.81,154329.71,156445.62,-444.41
Van Buren,Stockport,52,246.7,18122.91,19615.02,-12.41
Polk,Alleman,43,250.71,9003.28,11546.67,-1.55
Buchanan,Rowley,50,251.04,43153.78,49396.73,-0.64
Ida,Other,52,252.03,19445.48,21313.61,-1.46
Union,Other,52,260.69,18399.41,21808.52,0.07
Cerro Gordo,Other,52,261.65,76440.03,82346.26,0.01
Taylor,Other,52,265.33,4469.24,5299.61,-0.4
Chickasaw,Other,52,269.03,12716.73,14733.34,-0.28
Ida,Arthur,48,270.81,63689.4,65160.08,-48.0
Carroll,Other,52,277.51,47374.47,53535.28,-2.96
Buchanan,Other,52,286.96,46954.19,62493.81,-6.88
Washington,West Chester,41,306.47,43173.16,47080.42,-65.99
Appanoose,Other,52,315.36,55110.92,58870.94,-6.17
Buena Vista,Other,52,319.58,11190.91,12583.82,-0.73
Page,Other,52,359.9,25376.16,30086.42,-3.56
Cherokee,Other,51,379.83,14282.8,15522.12,-4.74
Woodbury,Salix,52,380.56,135207.47,150900.55,-59.14
Palo Alto,Other,52,384.72,4232.11,4684.43,-3.48
Decatur,Other,52,387.67,26071.58,27860.05,-1.65
Tama,Other,52,400.47,32472.75,36021.35,-2.22
Lucas,Other,51,412.84,13232.69,14095.77,-10.87
Polk,Other,52,416.26,1888163.89,1902700.34,-459.37
Benton,Luzerne,13,421.06,6896.11,7552.77,-516.14
Worth,Other,52,458.0,36205.41,36797.43,-43.8
Adams,Prescott,14,471.42,14690.02,20667.96,-163.55
Wayne,Other,52,556.49,65467.46,72118.19,-0.11
Louisa,Other,52,557.94,31937.49,35041.85,-1.39
Webster,Other,52,663.46,166340.25,182253.4,-11.71
Howard,Other,51,665.23,48687.1,49265.49,-192.55
Allamakee,Other,52,667.26,93539.0,94629.9,-131.59
Hardin,Other,50,774.1,30808.76,31272.84,-145.65
Clayton,Mcgregor,41,776.02,27360.04,38045.82,-0.15
Linn,Other,52,786.28,556349.06,605401.25,-6.3
Wright,Other,52,938.8,21430.01,23563.84,-21.73
Sac,Nemaha,18,1065.75,4995.94,6039.01,-2.58
Jones,Other,52,1152.27,93647.84,98480.76,-41.36
Clay,Other,52,1208.7,24805.31,30863.01,-0.21
Dubuque,Zwingle,17,1708.19,6533.71,7116.18,-1.53
Lyon,Other,49,1889.22,44732.52,48077.03,-0.9
Cass,Other,50,2009.1,31539.42,33079.9,-14.61
Monroe,Other,50,3172.54,25008.62,31776.19,-0.21
Mahaska,Eddyville,33,3551.86,20843.57,28412.0,-0.5
Franklin,Alexander,51,2.463982208942495e+20,4474.27,4829.01,-1.54
Dubuque,Bernard,52,1.4213483092037783e+21,4794.98,7661.46,0.15
Dickinson,Other,52,2.1815647379491898e+21,60187.28,65944.96,-8.73
Polk,Runnells,52,4.6525080224627567e+21,45863.63,52457.27,0.15
Polk,Carlisle,50,6.470775138667651e+21,23246.52,34624.49,0.01
Harrison,Woodbine,52,7.6127937541188e+21,38825.27,62079.81,0.14
Scott,Riverdale,12,9.921789370447248e+22,276083.78,387692.17,-191.32
